,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
2451,-0.29%,,-2e-06,26.244M,,13943,Rivetz USD,0.000531,-0.0,RVT-USD,0,201,0,0,-0.6792127515364235,USD,0.0,5.8191780821917805,0.0005429008160717785,-0.7849814864259175,-0.02733318299813557,0.11396425724468401,28.71899282566037
2452,-0.54%,,-1e-06,50.202M,,13761,AmsterdamCoin USD,0.000274,-0.0,AMS-USD,,202,,,-0.4049737941631618,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.3585955629266675,-0.00738560395435618,0.19267188903931146,48.553316037906484
2453,-0.54%,,-1e-06,49.712M,,13626,Bela USD,0.000274,-0.0,BELA-USD,264,203,264,264,-0.6504905830048896,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.7261189678023697,-0.01444585016654313,0.19946382124879464,50.26488295469625
2454,-0.54%,,-6e-06,12.417M,,13614,Eurocoin USD,0.001096,-0.0,EUC-USD,2,204,2,2,-0.39828860094013907,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.35522875052958763,-0.00961446582882255,0.1466163512382641,36.94732051204255
2455,-0.54%,,-1.5e-05,4.83M,,13239,FuzzBalls USD,0.002741,-0.0,FUZZ-USD,299,205,299,299,-0.10727681513770937,USD,0.0,5.8191780821917805,0.0015567234950140119,-0.07845777452698045,-0.002702702494694475,0.11519594765544496,29.02937880917213
2456,+0.01%,,0.0,440.517M,,13224,Origo USD,3e-05,-0.0,OGO-USD,3,206,3,3,-0.7877015853288825,USD,0.0,4.227397260273973,0.00011999999696854502,-1.0699729292614804,-0.021191314695418278,0.2003615341234205,50.49110659910197
2457,-0.54%,,-7e-06,9.575M,,13123,GoByte USD,0.001371,-0.0,GBX-USD,0,207,0,0,-0.7803272616182284,USD,0.0,5.789041095890411,0.0016633677296340466,-1.0907939453674054,-0.029617751233895765,0.1461470645785505,36.82906027379473
2458,+0.01%,,9e-06,200000,,12972,Twinci USD,0.064864,-362.63080302304337,TWIN-USD,25,208,25,25,-0.8322336073725646,USD,13633.0,2.356164383561644,0.06816793978214264,-1.2325097600153736,-0.026599486761757746,0.1838724103926865,46.335847418957
2459,+24.32%,,0.000536,4.694M,,12866,StrongHands Masternode USD,0.002741,-45.69809822457124,SHMN-USD,1,209,1,1,-0.7264304139279341,USD,8901.0,4.46027397260274,0.0018550000386312604,-0.8949101750146852,-0.00513404091951143,0.6917028728261135,174.3091239521806
2460,-0.54%,,-0.000109,630343,,12613,MustangCoin USD,0.020011,-0.0,MST-USD,22,210,22,22,-0.300140705541312,USD,0.0,5.8191780821917805,0.009599794633686543,-0.24685597091368008,-0.005379540359292683,0.18209495992966138,45.887929902274664
2461,+1.98%,,3e-06,76.385M,,12454,Landbox USD,0.000163,-652.0933778225393,LAND-USD,2060,211,2060,2060,-0.9862284136232196,USD,14435.0,2.4876712328767123,0.00018897764675784856,-2.958512979268832,-0.04517446330602974,0.25988423571481317,65.49082740013291
2462,-0.54%,,-1e-06,45.08M,,12357,Startcoin USD,0.000274,-0.0,START-USD,2,212,2,2,-0.5898939647974542,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.6153905798066944,-0.012876178933505423,0.1896545646775356,47.79295029873897
2463,+4.03%,,0.0,1.23T,,12306,Innovative Bioresearch Coin USD,1e-08,,INNBC-USD,357,213,357,357,inf,USD,12296.0,3.4821917808219176,9.99881777374867e-09,,,,
2464,-0.62%,,-1e-06,73.863M,,12138,BoatPilot Token USD,0.000164,-0.0,NAVY-USD,0,214,0,0,-0.540781320089891,USD,0.0,4.46027397260274,0.00015426195750478655,-0.5372976613711401,-0.012653939161511932,0.16849563994701947,42.460901266648904
2465,-1.03%,,-1e-08,9.5B,,12095,Herbalist Token USD,1.27e-06,,HERB-USD,12,215,12,12,0.018576778645573278,USD,0.0,4.704109589041096,1.6356667401851155e-05,,,,
2466,-0.54%,,-1e-06,48.496M,,11964,Phantomx USD,0.000247,-0.0,PNX-USD,8,216,8,8,-0.5138076334470185,USD,0.0,5.789041095890411,0.00025945392553694546,-0.4978904964267293,-0.005305849704936839,0.3723731443736449,93.83803238215852
2467,-0.54%,,-7e-06,8.715M,,11945,Civitas USD,0.001371,-128.6998945148135,CIV-USD,3,217,3,3,-0.5820824347470066,USD,9475.0,4.684931506849315,0.0010870000114664435,-0.6023635937297649,-0.013583102323463167,0.17597833427352244,44.34654023692765
2468,-0.54%,,-3e-06,21.709M,,11901,BLOC.MONEY USD,0.000548,-254.55745714599908,BLOC-USD,7,218,7,7,-0.716551241300667,USD,11801.0,4.646575342465753,0.0005440000095404685,-0.8704176087802753,-0.02157083782272681,0.16012535806288059,40.351590231845904
2469,-4.10%,,-7.3e-05,6.862M,,11779,Warena USD,0.001717,-536.8498148083668,RENA-USD,15679,219,15679,15679,-0.9868695169450923,USD,3979.0,1.9013698630136986,0.0005799314239993691,-2.991425583277698,-0.13492078783824246,0.087983005671521,22.17171742922329
2470,-0.54%,,-1e-06,106.913M,,11722,UNICORN Token USD,0.00011,-109.09086379194761,UNI-USD,2,220,2,2,-0.63364993656291,USD,16643.0,3.871232876712329,0.00015567235823255032,-0.693287173135697,-0.00655475958612916,0.41971632060421005,105.76851279226094
2471,-5.44%,,-1.9e-05,35M,,11375,Smaugs NFT USD,0.000325,-432.43433493703736,SMG-USD,0,221,0,0,-0.9486179497646149,USD,5794.0,2.315068493150685,0.00016599999798927456,-2.7842365853089572,-0.07463485242268508,0.1480348325154853,37.304777793902296
2472,-1.53%,,-1.4e-05,12.83M,,11184,PrivaCoin USD,0.000872,-125.11230128542834,PRVC-USD,5316,222,5316,5316,-0.14027689012373223,USD,10352.0,0.663013698630137,0.0008069445611909032,-0.10435210006258408,-0.012085809629581563,0.034262961924820694,8.634266405054815
2473,-8.55%,,-5.7e-05,18M,,10969,Koi Network USD,0.000609,-384.2206876262041,KOI-USD,534031,223,534031,534031,-0.9957772004466828,USD,2520.0,1.0246575342465754,0.00014000000373926014,-3.7746541269757516,-0.1524685268357953,0.09824182425720894,24.756939712816653
2474,+17.88%,,1.7e-05,100M,,10964,SF Capital USD,0.00011,-0.0,SFCP-USD,0,224,0,0,-0.7759535270446916,USD,0.0,4.397260273972603,3.876046321238391e-05,-1.032786982421917,-0.010235158251469947,0.40041989978691506,100.9058147463026
2475,-0.54%,,-1e-06,39.779M,,10904,Quantis Network USD,0.000274,-197.0625641134607,QUAN-USD,24,225,24,24,-0.679618865769533,USD,10812.0,4.67945205479452,0.00027200000477023423,-0.7858560952250099,-0.018226282289443275,0.17109778718611454,43.11664237090086
2476,-0.54%,,-1e-06,39.713M,,10886,Datacoin USD,0.000274,-0.0,DTC-USD,0,226,0,0,-0.4613502888485099,USD,0.0,5.534246575342466,0.00025945392553694546,-0.428848632572908,-0.008207823464376388,0.2073363657702679,52.248764174107514
2477,+4.33%,,1e-06,479.147M,,10796,ALL BEST ICO USD,2.3e-05,-6552.627952869431,ALLBI-USD,17,227,17,17,-0.6430023785280787,USD,1260482.0,3.734246575342466,0.0009364441502839327,-0.7111413486619719,-0.005198509739027952,0.5428458578486804,136.79715617786746
2478,+0.01%,,0.0,7.571M,,10758,AMATEN USD,0.001421,-272.11440089237965,AMA-USD,2,228,2,2,-0.4662871813699633,USD,37015.0,3.356164383561644,0.004889000207185745,-0.4335072305014496,-0.007351462944546255,0.23400332704939492,58.96883841644752
2479,-3.10%,,-0.0,800M,,10693,Reward Hunters Token USD,1.3e-05,-240.14979817359693,RHT-USD,1,229,1,1,-0.9302310652276772,USD,6601.0,1.8027397260273972,7.999999979801942e-06,-1.8840785002619138,-0.03638082081102817,0.20550668782327094,51.78768533146428
2480,-0.54%,,-1e-05,5.55M,,10649,BowsCoin USD,0.001919,-0.0,BSC-USD,13,230,13,13,-0.2418970521440048,USD,0.0,5.8191780821917805,0.0010378157021477818,-0.1917413519274528,-0.006205505302927003,0.12261344459823527,30.89858803875529
2481,-1.77%,,-1.8e-05,10.811M,,10608,Moniwar USD,0.000981,-711.3244203727836,MOWA-USD,61,231,61,61,-0.9687570542498455,USD,5724.0,1.8904109589041096,0.0005295183509588242,-2.392937916158358,-0.1242705136919608,0.07641221637756117,19.255878527145413
2482,-0.71%,,-2e-06,49.994M,,10489,iBTC USD,0.00021,-0.0,IBTC-USD,41,232,41,41,-0.5144259863553615,USD,0.0,5.8191780821917805,0.00016244029393419623,-0.5599289911985728,-0.006783211398310185,0.3275646756074418,82.54629825307534
2483,-0.54%,,-1.2e-05,4.764M,,10447,ParkByte USD,0.002193,-0.0,PKB-USD,3,233,3,3,-0.6648519018734029,USD,0.0,5.8191780821917805,0.0010378157021477818,-0.7670235123542777,-0.039420734616337855,0.07721175483580371,19.457362218622535
2484,-0.54%,,-7.1e-05,793107,,10435,Bitcoin 21 USD,0.013158,-0.0,XBTC21-USD,6,234,6,6,-0.3423277542128814,USD,0.0,5.8191780821917805,0.005707986187189817,-0.29629055563782286,-0.008144831348775583,0.14435611037455257,36.37773981438725
2485,+0.01%,,0.0,310M,,10329,8X8 PROTOCOL USD,3.3e-05,-234.174717675039,EXE-USD,1,235,1,1,-0.9309315366275398,USD,6358.0,3.032876712328767,2.099999983329326e-05,-1.8452317122407147,-0.036831506397458164,0.1988066408533487,50.099273495043875
2486,-0.29%,,-6e-06,5.223M,,10325,Elementeum USD,0.001977,-35.23021902016717,ELET-USD,38,236,38,38,-0.7775386823099648,USD,3145.0,4.3123287671232875,0.0006021383451297879,-1.0376890835158095,-0.011201977430895762,0.36759704693907375,92.63445582864658
2487,-11.38%,,-5.1e-05,25.718M,,10286,Filecash USD,0.0004,-652.064042281604,FIC-USD,7152,237,7152,7152,-0.9426870440852888,USD,7901.0,2.3589041095890413,0.00030700000934302807,-1.9740427415743689,-0.08252930544002075,0.0949178343497454,23.919294256135842
2488,-0.54%,,-4.5e-05,1.247M,,10251,ModiHost USD,0.008223,-165.72252082419052,AIM-USD,0,238,0,0,-0.4250409480963552,USD,7561.0,3.1041095890410957,0.00606551393866539,-0.382112401670998,-0.021918069147492465,0.06918123325765065,17.43367078092796
2489,-0.54%,,-6e-06,9.107M,,9985,Dollarcoin USD,0.001096,-0.0,DLC-USD,2,239,2,2,-0.3298983835868323,USD,0.0,5.8191780821917805,0.0010378157021477818,-0.2794150778089175,-0.010199072544199755,0.10871478622198846,27.39612612794109
2490,-0.54%,,-1e-06,36.391M,,9975,CrevaCoin USD,0.000274,-0.0,CREVA-USD,,240,,,-0.1764631099427154,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.1340411706629652,-0.0038662119395885255,0.13757895731120454,34.669897242423545
2491,+1.70%,,5e-06,31.485M,,9915,Knight War - The Holy Trio USD,0.000315,-365.57081486309966,KWS-USD,6038,241,6038,6038,-0.9760549359780205,USD,3311.0,1.9342465753424658,0.00010517450573388487,-2.576608915104974,-0.11041099814651152,0.09260525421965779,23.336524063353764
2492,-0.54%,,-1e-06,44.157M,,9683,Rupee USD,0.000219,-0.0,RUP-USD,0,242,0,0,-0.7686058488661538,USD,0.0,5.8191780821917805,5.189078365219757e-05,-1.0109840650785693,-0.01294884263892504,0.3098224018901667,78.07524527632201
2493,-0.54%,,-1.8e-05,2.931M,,9642,EDRCoin USD,0.003289,-0.0,EDRC-USD,2,243,2,2,-0.3812287905654562,USD,0.0,5.8191780821917805,0.0023350853007286787,-0.3314108529556172,-0.009132734209214313,0.14400095330012894,36.28824023163249
2494,-0.29%,,-1e-06,23.561M,,9597,Arbidex USD,0.000407,-0.0,ABX-USD,0,244,0,0,-0.6209160391496685,USD,0.0,5.052054794520548,0.0003597352188080549,-0.6696969495716346,-0.020716681220155787,0.1282795998752754,32.3264591685694
2495,-0.54%,,-1e-06,35M,,9594,Alpha Coin USD,0.000274,-0.0,APC-USD,71,245,71,71,-0.5851727036720005,USD,0.0,4.857534246575343,0.00025945392553694546,-0.6074877690302507,-0.0038894771799297084,0.619791719709642,156.1875133668298
2496,-0.87%,,-2e-06,53.495M,,9592,HeartBout USD,0.000179,,HB-USD,10,246,10,10,-0.6800882030241957,USD,0.0,5.057534246575343,0.00023604529269505292,,,,
2497,-0.64%,,-1e-06,55.056M,,9548,Thore Cash USD,0.000173,-0.0,TCH-USD,791,247,791,791,-0.8916312054941433,USD,0.0,5.079452054794521,0.00011449666635598987,-1.5342416615220595,-0.03162955856467937,0.19248642212775668,48.50657837619468
2498,+7.99%,,5.3e-07,1.322B,,9403,Ancient Kingdom USD,7.11e-06,-818.0495787100156,DOM-USD,1033,248,1033,1033,-0.9956738091231573,USD,4737.0,1.6356164383561644,3.217351604689611e-06,-3.7579536793743498,-0.17269359905214599,0.08635244550198372,21.760816266499898
2499,+0.68%,,2e-06,36.819M,,9372,Zuki Moba USD,0.000255,-934.5603558373655,ZUKI-USD,81,249,81,81,-0.9875026253010327,USD,6135.0,1.7835616438356163,0.00016662829148117453,-3.0255442289460004,-0.1523325763386089,0.07881523559317555,19.861439369480237
2500,-0.54%,,-4e-06,11.29M,,9284,Bonpay USD,0.000822,-0.0,BON-USD,,0,,,-0.7436397568679929,USD,0.0,5.742465753424658,0.0007783617475070059,-0.9397678061215157,-0.03172214134696742,0.11755944483979605,29.624980099628605
2501,-0.54%,,-7e-06,6.703M,,9187,Quebecoin USD,0.001371,-0.0,QBC-USD,110,1,110,110,-0.13515818534011426,USD,0.0,5.8191780821917805,0.0005189078510738909,-0.10063268239082765,-0.002950635442252424,0.1353389969885952,34.10542724112599
2502,0.00%,,0.0,5M,,8929,srnArt Gallery USD,0.001786,-340.83065032930267,SACT-USD,7,2,7,7,-0.818008367429209,USD,9625.0,2.26027397260274,0.0019249999895691872,-1.1763184413635392,-0.03541097665758989,0.13182156391811,33.21903410736372
2503,-0.54%,,-1e-06,32.565M,,8926,SongCoin USD,0.000274,-0.0,SONG-USD,,3,,,-0.22006191924229002,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.1715952548371622,-0.003974702525741707,0.17131685869096655,43.17184839012357
2504,+1.85%,,9.1e-05,1.785M,,8915,Feellike USD,0.004993,-117.85188561647519,FLL-USD,0,4,0,0,-0.6723814195451645,USD,8497.0,3.0657534246575344,0.004759407136589289,-0.7704331872672563,-0.013869822951215157,0.22042635752462794,55.54744209620624
2505,-0.54%,,-1e-06,32.438M,,8891,BitSend USD,0.000274,-209.36852501160425,BSD-USD,3,5,3,3,-0.7337519099300811,USD,10123.0,5.8191780821917805,0.00031134471646510065,-0.9136392803520479,-0.02068245826450699,0.17529602397561694,44.17459804185547
2506,-42.20%,,-0.003785,1.7M,,8812,Ccore USD,0.005184,-0.0,CCO-USD,46,6,46,46,-0.6011475422511741,USD,0.0,5.758904109589041,0.004890643525868654,-0.6349027457718259,-0.006277676027308356,0.4013356741259936,101.13658987975039
2507,-0.54%,,-3.7e-05,1.22M,,8361,Acoin USD,0.006853,-69.00035658936122,ACOIN-USD,0,7,0,0,-0.3564412997550255,USD,7597.0,5.8191780821917805,0.0062268939800560474,-0.3050111427544265,-0.009082579516830488,0.13326188615844958,33.5819953119293
2508,-0.54%,,-1e-06,30.228M,,8286,Litecred USD,0.000274,-0.0,LTCR-USD,108,8,108,108,-0.14371968137544022,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.10944109274751983,-0.0028071491782492883,0.1547085755008739,38.98656102622023
2509,0.00%,,0.0,47.106M,,8256,ACA Token USD,0.000175,-14003.292100919703,ACA13626-USD,0,9,0,0,-0.3937797412146713,USD,2318209.0,1.8356164383561644,0.04323643073439598,-0.3455588977892851,-0.006040564979654424,0.22700947213322537,57.20638697757279
2510,-0.29%,,-0.0,342.007M,,8230,StarterCoin USD,2.4e-05,-0.0,STAC-USD,27,10,27,27,-0.746567144430133,USD,0.0,5.493150684931507,2.4592211048002355e-05,-0.9476969941551813,-0.019807761330429843,0.18986003996227704,47.84473007049382
2511,-0.54%,,-0.0,298.349M,,8178,MedicCoin USD,2.7e-05,-0.0,MEDIC-USD,1,11,1,1,-0.743063756992683,USD,0.0,5.443835616438356,2.5945391826098785e-05,-0.9382183047946874,-0.018949357582971123,0.19647571136848407,49.51187926485799
2512,-0.54%,,-0.0,148.585M,,8146,Apollon USD,5.5e-05,-0.0,XAP-USD,4,12,4,4,-0.6028175370510861,USD,0.0,5.06027397260274,0.00023350853007286787,-0.637497517446013,-0.01124506324629019,0.22496556915247,56.69132342642244
2513,-0.54%,,-2e-06,24.744M,,8139,SCRIV NETWORK USD,0.000329,-0.0,SCRIV-USD,5,13,5,5,-0.22714840278388482,USD,0.0,4.841095890410959,0.00034699999378062785,-0.1778969709468818,-0.004606614858715339,0.15324492768583492,38.6177217768304
2514,-0.71%,,-3e-05,1.941M,,8112,Gaj Finance USD,0.004179,-582.803864503263,GAJ-USD,27,14,27,27,-0.9365128158126022,USD,6202.0,2.021917808219178,0.0031946832314133644,-1.9034058595968162,-0.09397031030365413,0.08037855606878003,20.255396129332567
2515,-4.82%,,-1.2e-05,35M,,8037,Kalata USD,0.00023,-0.0,KALA-USD,182,15,182,182,-0.9838447900220557,USD,0.0,2.0493150684931507,9.359583782497793e-05,-2.848299166808612,-0.10336661030217512,0.1093464750214887,27.555311705415154
2516,-0.54%,,-2e-06,24.432M,,8036,SafeInsure USD,0.000329,-0.0,SINS-USD,25,16,25,25,-0.8098423316442871,USD,0.0,4.926027397260274,0.0015048327622935176,-1.1460143364601934,-0.00995971826407635,0.4566068856322057,115.06493517931584
2517,-0.83%,,-5e-06,12.951M,,7880,Step Hero USD,0.000609,-663.2718586645074,HERO11067-USD,42445,17,42445,42445,-0.9813434098202988,USD,6082.0,2.0493150684931507,0.0004696444666478783,-2.7489097816050703,-0.1090548929076796,0.10002643492998475,25.206661602356156
2518,-0.54%,,-7.3e-05,574745,,7719,SpeedCash USD,0.013432,-0.0,SCS-USD,5,18,5,5,-0.2582621826382193,USD,0.0,5.8191780821917805,0.007783617824316025,-0.20675350217089955,-0.003801232442325742,0.21583799935635983,54.39117583780268
2519,+0.02%,,0.0,4.55M,,7639,Luna Rush USD,0.001679,-383.6612739885556,LUS-USD,4935,19,4935,4935,-0.9777901110991845,USD,4255.0,1.6602739726027398,0.0009352946071885526,-2.6285447838693505,-0.0901671619244549,0.11568217349529135,29.15190772081342
2520,-0.54%,,-3e-06,13.529M,,7417,Streamit Coin USD,0.000548,-72.77663565454957,STREAM-USD,3,20,3,3,-0.8699461784284643,USD,7020.0,4.005479452054795,0.0005189078510738909,-1.4083050392699399,-0.0103670421160327,0.5390652413722067,135.84444082579608
2521,+3.91%,,0.00014,1.953M,,7241,BSClaunch USD,0.003708,-326.4228319796739,BSL-USD,3230,21,3230,3230,-0.957619658237655,USD,5073.0,2.2739726027397262,0.0025975420139729977,-2.18243782687223,-0.06434512753393927,0.13459399178881526,33.917685930781445
2522,-0.54%,,-2.5e-05,1.559M,,7137,Ignition USD,0.004578,-0.0,IC-USD,0,22,0,0,-0.7847082708655877,USD,0.0,5.635616438356164,0.0065382388420403,-1.0603064254904229,-0.017467175554805606,0.24088411817444388,60.70279777995986
2523,-0.54%,,-3e-06,12.721M,,6973,GenesisX USD,0.000548,-83.60454690580654,XGS-USD,9,23,9,9,-0.5555288215820435,USD,6915.0,4.684931506849315,0.0005440000095404685,-0.5598335802175557,-0.012090317701490463,0.18374718358197267,46.30429026265711
2524,-0.54%,,-1.5e-05,2.447M,,6707,Californium USD,0.002741,-0.0,CF-USD,10,24,10,10,-0.31693968615444823,USD,0.0,5.8191780821917805,0.0028539930935949087,-0.2654146831386487,-0.010165107526147202,0.1036125655226601,26.110366511710346
2525,-0.85%,,-2.5e-05,2.153M,,6336,TravelNote USD,0.002943,-0.0,TVNT-USD,2,25,2,2,-0.5268296571455887,USD,0.0,4.69041095890411,0.0026980172842741013,-0.5166343979571227,-0.007294933871278106,0.2810356524137564,70.82098440826661
2526,+48.45%,,1.8e-07,11.445B,,6244,Thingschain USD,5.5e-07,,TIC-USD,0,26,0,0,-1.0,USD,4126.0,4.7835616438356166,0.0,,,,
2527,-0.54%,,-7e-06,4.551M,,6237,Xuez USD,0.001371,-0.0,XUEZ-USD,32077,27,32077,32077,-0.5638467509600658,USD,0.0,4.46027397260274,0.0015567234950140119,-0.5728765079706793,-0.01168315751024976,0.1945809147980515,49.03439052910898
2528,-1.03%,,-7e-06,8.779M,,6227,CRDT USD,0.000709,-102.22550029760015,CRDT-USD,0,28,0,0,-0.7756650581759104,USD,3877.0,3.1123287671232878,0.00044162999256514013,-1.0318986222480881,-0.02636716541078157,0.15530056943084958,39.135743496574094
2529,-0.54%,,-3e-06,11.159M,,6117,SpreadCoin USD,0.000548,-0.0,SPR-USD,6,29,6,6,-0.70943314490548,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.8532938108753776,-0.028387037550168075,0.1192828432733982,30.05927650489635
2530,-0.29%,,-0.0,201.017M,,6053,Datarius Credit USD,3e-05,-0.0,DTRC-USD,49,30,49,49,-0.6283065164614863,USD,0.0,5.2904109589041095,3.0773706384934485e-05,-0.6832898761693376,-0.021312179344911274,0.12722620801444015,32.06100441963892
2531,+9.41%,,0.000259,2M,,6030,More Coin USD,0.003015,,MORE-USD,157,31,157,157,-0.6453989347886205,USD,0.0,5.8191780821917805,0.002328963251784444,,,,
2532,-0.54%,,-1e-06,21.932M,,6011,Prime-XI USD,0.000274,-0.0,PXI-USD,14,32,14,14,-0.35886137463752377,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.3068942862171149,-0.00898034594039275,0.13561108638786737,34.17399376974258
2533,+0.01%,,0.0,14.923M,,5973,LCMS USD,0.0004,-59.489540222016934,LCMS-USD,9,33,9,9,-0.9388579122035483,USD,4475.0,2.4,0.0003000000142492354,-1.9293912697435318,-0.013293752004919985,0.5759333075899677,145.13519351267186
2534,-0.54%,,-3e-06,10.5M,,5756,Cabbage USD,0.000548,-0.0,CAB-USD,2,34,2,2,-0.2553271940785693,USD,0.0,5.8191780821917805,0.0005189078510738909,-0.20498794712118132,-0.00702249322746576,0.11583410738317135,29.19019506055918
2535,-0.54%,,-4e-06,7.992M,,5257,JavaScript Token USD,0.000658,-0.0,JS-USD,0,35,0,0,-0.20277287679082545,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.15907930403251808,-0.001966726820542983,0.32097344323592236,80.88530769545244
2536,-0.54%,,-4e-06,6.244M,,5134,Zayedcoin USD,0.000822,-0.0,ZYD-USD,2,36,2,2,-0.41897541985027476,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.3796936790368256,-0.01170808593191017,0.12869062947789714,32.430038628430076
2537,-0.54%,,-1e-06,18.399M,,5043,VectorAI USD,0.000274,-0.0,VEC2-USD,2,37,2,2,-0.3622205916080562,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.32094743150386656,-0.010340021126285927,0.12317198418758038,31.039340015270255
2538,-0.54%,,-6e-06,4.5M,,4934,BitCoal USD,0.001096,-22.98894262393851,COAL-USD,3,38,3,3,-0.2661829272233506,USD,6115.0,5.583561643835616,0.0013589999871328473,-0.21367908567600502,-0.0037594346073488976,0.2255479794778602,56.838090828420775
2539,-0.54%,,-4.8e-05,554855,,4867,Veltor USD,0.008772,-0.0,VLT-USD,4,39,4,4,-0.5734124842073565,USD,0.0,5.8191780821917805,0.0031134469900280237,-0.5926515690852044,-0.020284643496984903,0.1159395254426765,29.216760411554475
2540,+0.01%,,0.0,284.074M,,4832,OneRoot Network USD,1.7e-05,-0.0,RNT-USD,0,40,0,0,-0.8633463240248161,USD,0.0,5.608219178082192,1.9999999949504854e-06,-1.374128705507118,-0.03228150268917841,0.1689169101272432,42.56706135206528
2541,-0.54%,,-3e-06,8.623M,,4727,Coinonat USD,0.000548,-0.0,CXT-USD,3,41,3,3,-0.40893622468441104,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.3630397310923671,-0.005991112908433833,0.24046180994404637,60.59637610589969
2542,-0.54%,,-1e-06,17.09M,,4684,PLNcoin USD,0.000274,-0.0,PLNC-USD,2,42,2,2,-0.303681035740076,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.25420097129738906,-0.008791840732102518,0.1147352464429419,28.91328210362136
2543,-0.54%,,-1e-06,24.36M,,4674,Kemacoin USD,0.000192,-25.65115010641638,KEMA-USD,0,43,0,0,-0.15921849989783599,USD,9480.0,3.2684931506849315,0.00038918087375350296,-0.11973345896817121,-0.00270581752177388,0.17559675397908264,44.25038200272883
2544,-0.54%,,-3e-08,839.506M,,4602,Scanetchain USD,5.48e-06,,SWC-USD,14,44,14,14,-0.881242529190694,USD,0.0,4.531506849315068,2.5945391257664596e-07,,,,
2545,-0.54%,,-3.9e-05,643412,,4585,SkyHub Coin USD,0.007127,-77.54591489586069,SHB-USD,27,45,27,27,-0.7835312072267419,USD,3847.0,4.575342465753424,0.005979999899864197,-1.056542025515791,-0.020157503222214893,0.20799337294708067,52.41432998266433
2546,-0.54%,,-1e-06,16.588M,,4547,Bitvolt USD,0.000274,-0.0,VOLT-USD,6,46,6,6,-0.08168185755974122,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.05919316951412924,-0.001402252706319299,0.16751155391565128,42.21291158674413
2547,-32.98%,,-0.00119,1.853M,,4480,SafeCapital USD,0.002418,-116.58624595842124,SCAP-USD,0,47,0,0,-0.841236063935066,USD,7691.0,3.747945205479452,0.004151262808591127,-1.2705887354089922,-0.015158788968719444,0.3326135617897882,83.81861757102662
2548,-0.54%,,-4e-06,5.369M,,4415,Independent Money System USD,0.000822,-0.0,IMS-USD,10,48,10,10,-0.4597049617148904,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.43634346109545896,-0.014715821707234544,0.11766394738001489,29.65131473976375
2549,-0.54%,,-0.0,157.854M,,4327,Carebit USD,2.7e-05,-0.0,CARE-USD,0,49,0,0,-0.6021311999281231,USD,0.0,4.980821917808219,2.1503374227904715e-05,-0.6363055067897323,-0.008569033667276058,0.2946682146883042,74.25639010145265
2550,-8.87%,,-0.5011,749,,3857,FUZE Token USD,5.1468,-59.439347576570626,FUZE-USD,36423,50,36423,36423,-0.5384540062792572,USD,4089.0,3.6684931506849314,5.462803363800049,-0.5338075049229308,-0.01453640195073872,0.14572270062926554,36.722120558574915
2551,+72.40%,,0.000162,9.961M,,3840,Xion Finance USD,0.000386,-106.16911270093347,XGT-USD,3302,51,3302,3302,-0.9420365650236584,USD,2069.0,2.4712328767123286,0.0002077482786262408,-2.0269238752011565,-0.05131421590185281,0.15674698657580535,39.500240617102946
2552,-0.54%,,-4e-06,4.526M,,3722,iBank USD,0.000822,-0.0,IBANK-USD,0,52,0,0,-0.3995239584241418,USD,0.0,5.8191780821917805,0.00025945392553694546,-0.360100374852397,-0.012074725254875901,0.11834387212253404,29.82265577487858
2553,+97.93%,,0.00018,10M,,3637,Rewardiqa USD,0.000364,-71.22759377201241,REW-USD,16,53,16,16,-0.8816411312282487,USD,5724.0,3.1424657534246574,0.0005724833463318646,-1.4733604664996387,-0.012443674663174776,0.4698506410777569,118.40236155159475
2554,+3.61%,,1e-05,12.493M,,3510,OptionRoom USD,0.000281,-4421.9798457005745,ROOM-USD,8895,54,8895,8895,-0.808665341938285,USD,538952.0,2.5753424657534247,0.04313904419541359,-1.1417541764853745,-0.00820477490704288,0.552211436991339,139.15728212181742
2555,-1.09%,,-4e-06,9.497M,,3475,Kwikswap Protocol USD,0.000366,-61.276688779892396,KWIK-USD,216,55,216,216,-0.957731628178826,USD,2996.0,2.271232876712329,0.000315559736918658,-2.1842643240809045,-0.020452833371125634,0.4237904555554783,106.79519479998052
